TANAME,EANUMBER,Total_0-10
Bangwe Ward,1,398
Bangwe Ward,2,462
Bangwe Ward,3,364
Bangwe Ward,4,1074
Bangwe Ward,5,1590
Bangwe Ward,6,1042
Bangwe Ward,7,840
Bangwe Ward,8,483
Bangwe Ward,9,455
Bangwe Ward,10,254
Bangwe Ward,11,409
Bangwe Ward,12,1027
Bangwe Ward,13,1034
Bangwe Ward,14,283
Bangwe Ward,15,1781
Bangwe Ward,901,304
Blantyre Central Ward,1,44
Blantyre Central Ward,2,118
Blantyre Central Ward,3,248
Blantyre Central Ward,4,68
Blantyre Central Ward,5,150
Blantyre Central Ward,6,146
Blantyre Central Ward,7,107
Blantyre Central Ward,8,211
Blantyre East Ward,1,252
Blantyre East Ward,2,124
Blantyre East Ward,3,64
Blantyre West Ward,1,326
Blantyre West Ward,2,121
Blantyre West Ward,3,300
Blantyre West Ward,4,570
Blantyre West Ward,5,639
Blantyre West Ward,6,194
Blantyre West Ward,7,489
Blantyre West Ward,8,259
Blantyre West Ward,9,441
Blantyre West Ward,10,583
Blantyre West Ward,11,599
Blantyre West Ward,12,851
Blantyre West Ward,13,616
Blantyre West Ward,14,550
Blantyre West Ward,15,404
Chichiri Ward,1,172
Chichiri Ward,2,229
Chichiri Ward,3,302
Chichiri Ward,4,202
Chichiri Ward,5,280
Chichiri Ward,901,51
Chigumula Ward,1,427
Chigumula Ward,2,290
Chigumula Ward,3,565
Chigumula Ward,4,632
Chigumula Ward,5,296
Chigumula Ward,6,321
Chigumula Ward,7,391
Chigumula Ward,8,897
Chigumula Ward,9,870
Chigumula Ward,10,73
Chigumula Ward,11,751
Chigumula Ward,12,525
Chigumula Ward,13,487
Chigumula Ward,14,410
Chigumula Ward,15,368
Chigumula Ward,90,472
Chilomoni Ward,1,418
Chilomoni Ward,2,862
Chilomoni Ward,3,823
Chilomoni Ward,4,1481
Chilomoni Ward,5,855
Chilomoni Ward,6,1144
Chilomoni Ward,7,751
Chilomoni Ward,8,402
Chilomoni Ward,9,350
Chilomoni Ward,10,999
Chilomoni Ward,11,337
Chilomoni Ward,12,1105
Chilomoni Ward,13,1043
Chilomoni Ward,903,53
Likhubula Ward,1,125
Likhubula Ward,2,82
Likhubula Ward,3,590
Likhubula Ward,4,455
Likhubula Ward,5,939
Likhubula Ward,6,663
Likhubula Ward,7,396
Likhubula Ward,8,852
Likhubula Ward,9,381
Likhubula Ward,10,545
Likhubula Ward,11,410
Likhubula Ward,12,561
Likhubula Ward,13,558
Likhubula Ward,14,563
Likhubula Ward,15,522
Likhubula Ward,16,736
Likhubula Ward,17,160
Likhubula Ward,18,444
Likhubula Ward,19,486
Likhubula Ward,20,743
Likhubula Ward,21,2119
Likhubula Ward,22,454
Likhubula Ward,23,462
Likhubula Ward,24,462
Likhubula Ward,25,201
Likhubula Ward,26,673
Likhubula Ward,27,811
Likhubula Ward,28,303
Likhubula Ward,29,775
Likhubula Ward,30,312
Limbe Central Ward,1,306
Limbe Central Ward,2,174
Limbe Central Ward,3,123
Limbe East Ward,1,119
Limbe East Ward,2,216
Limbe East Ward,3,336
Limbe East Ward,4,497
Limbe East Ward,5,347
Limbe East Ward,6,255
Limbe East Ward,7,543
Limbe East Ward,8,427
Limbe East Ward,9,466
Limbe East Ward,10,357
Limbe East Ward,11,394
Limbe East Ward,12,437
Limbe East Ward,13,401
Limbe East Ward,14,599
Limbe East Ward,15,338
Limbe East Ward,16,447
Limbe East Ward,17,581
Limbe East Ward,18,313
Limbe East Ward,19,498
Limbe East Ward,20,650
Limbe East Ward,21,406
Limbe East Ward,22,750
Limbe East Ward,23,485
Limbe East Ward,24,487
Limbe East Ward,25,493
Limbe East Ward,26,626
Limbe East Ward,27,445
Limbe East Ward,28,240
Limbe west Ward,1,295
Limbe west Ward,2,679
Limbe west Ward,3,167
Limbe west Ward,4,159
Limbe west Ward,5,195
Limbe west Ward,6,174
Limbe west Ward,7,156
Limbe west Ward,8,174
Limbe west Ward,9,131
Limbe west Ward,901,822
Mapanga Ward,1,538
Mapanga Ward,2,425
Mapanga Ward,3,320
Mapanga Ward,4,18
Mapanga Ward,5,54
Mapanga Ward,6,484
Mapanga Ward,7,119
Mapanga Ward,8,527
Mapanga Ward,9,348
Mapanga Ward,10,426
Mapanga Ward,11,200
Mapanga Ward,12,392
Mapanga Ward,13,161
Mapanga Ward,14,406
Mapanga Ward,15,312
Mapanga Ward,16,187
Mapanga Ward,17,897
Mapanga Ward,18,317
Mapanga Ward,19,327
Mapanga Ward,20,756
Mapanga Ward,21,303
Mapanga Ward,22,197
Michiru Ward,1,502
Michiru Ward,2,409
Michiru Ward,3,300
Michiru Ward,4,465
Michiru Ward,5,438
Michiru Ward,6,399
Michiru Ward,7,37
Michiru Ward,8,281
Michiru Ward,9,227
Michiru Ward,10,304
Michiru Ward,11,1689
Michiru Ward,12,1528
Michiru Ward,13,1322
Michiru Ward,14,382
Michiru Ward,15,430
Michiru Ward,16,255
Michiru Ward,17,820
Michiru Ward,18,32
Michiru Ward,19,1033
Michiru Ward,20,101
Michiru Ward,21,366
Michiru Ward,22,271
Michiru Ward,23,210
Michiru Ward,24,434
Michiru Ward,25,300
Michiru Ward,26,681
Michiru Ward,27,404
Michiru Ward,28,463
Michiru Ward,29,615
Misesa Ward,1,464
Misesa Ward,2,899
Misesa Ward,3,582
Misesa Ward,4,275
Misesa Ward,5,459
Misesa Ward,6,704
Misesa Ward,7,598
Misesa Ward,8,856
Misesa Ward,9,459
Misesa Ward,10,809
Misesa Ward,11,555
Misesa Ward,12,1006
Misesa Ward,13,609
Misesa Ward,14,505
Misesa Ward,15,354
Misesa Ward,16,450
Misesa Ward,17,361
Misesa Ward,18,339
Msamba Ward,1,613
Msamba Ward,2,423
Msamba Ward,28,480
Mzedi Ward,1,402
Mzedi Ward,2,189
Mzedi Ward,3,243
Mzedi Ward,4,795
Mzedi Ward,5,876
Mzedi Ward,6,756
Mzedi Ward,7,413
Mzedi Ward,8,955
Namiyango Ward,1,232
Namiyango Ward,2,481
Namiyango Ward,3,370
Namiyango Ward,4,418
Namiyango Ward,5,632
Namiyango Ward,6,519
Namiyango Ward,7,815
Namiyango Ward,8,103
Namiyango Ward,9,515
Namiyango Ward,10,649
Namiyango Ward,11,571
Namiyango Ward,12,444
Nancholi Ward,1,1081
Nancholi Ward,2,401
Nancholi Ward,3,930
Nancholi Ward,4,475
Nancholi Ward,5,392
Nancholi Ward,6,1494
Nancholi Ward,7,223
Nancholi Ward,8,203
Nancholi Ward,71,245
Nancholi Ward,72,320
Nancholi Ward,79,446
Nancholi Ward,84,447
Nancholi Ward,85,470
Nancholi Ward,86,603
Ndirande North Ward,1,286
Ndirande North Ward,2,1474
Ndirande North Ward,3,1112
Ndirande North Ward,4,983
Ndirande North Ward,5,250
Ndirande North Ward,6,463
Ndirande North Ward,7,506
Ndirande North Ward,8,803
Ndirande North Ward,9,604
Ndirande North Ward,10,374
Ndirande North Ward,11,1206
Ndirande North Ward,12,460
Ndirande North Ward,13,461
Ndirande North Ward,14,200
Ndirande North Ward,15,265
Ndirande North Ward,901,309
Ndirande South Ward,1,662
Ndirande South Ward,2,601
Ndirande South Ward,3,632
Ndirande South Ward,4,505
Ndirande South Ward,5,335
Ndirande South Ward,6,587
Ndirande South Ward,7,1241
Ndirande South Ward,8,627
Ndirande South Ward,9,389
Ndirande South Ward,10,663
Ndirande South Ward,11,356
Ndirande South Ward,12,458
Ndirande South Ward,13,435
Ndirande South Ward,14,332
Ndirande South Ward,15,392
Ndirande South Ward,16,327
Ndirande South Ward,17,505
Ndirande South Ward,18,361
Ndirande South Ward,19,368
Ndirande South Ward,20,281
Ndirande South Ward,21,446
Ndirande South Ward,22,400
Ndirande South Ward,23,416
Ndirande South Ward,24,400
Ndirande South Ward,25,514
Ndirande South Ward,26,550
Ndirande South Ward,27,568
Ndirande South Ward,28,550
Ndirande South Ward,29,268
Ndirande South Ward,30,277
Ndirande South Ward,31,349
Ndirande South Ward,32,319
Ndirande South Ward,33,352
Ndirande South Ward,34,306
Ndirande South Ward,35,270
Ndirande South Ward,36,290
Ndirande South Ward,37,292
Ndirande South Ward,38,399
Ndirande South Ward,39,477
Ndirande South Ward,40,541
Ndirande South Ward,41,247
Ndirande South Ward,42,576
Ndirande South Ward,43,228
Ndirande South Ward,44,293
Ndirande South Ward,45,375
Ndirande South Ward,46,106
Ndirande South Ward,47,223
Ndirande South Ward,48,247
Ndirande West Ward,1,126
Ndirande West Ward,2,1416
Ndirande West Ward,3,94
Ndirande West Ward,4,311
Ndirande West Ward,5,178
Ndirande West Ward,6,353
Ndirande West Ward,7,119
Ndirande West Ward,8,204
Ndirande West Ward,9,323
Ndirande West Ward,10,325
Ndirande West Ward,11,342
Ndirande West Ward,12,261
Ndirande West Ward,13,83
Ndirande West Ward,14,179
Ndirande West Ward,15,68
Nkolokoti Ward,1,834
Nkolokoti Ward,2,585
Nkolokoti Ward,3,939
Nkolokoti Ward,4,1314
Nkolokoti Ward,5,1013
Nkolokoti Ward,6,467
Nkolokoti Ward,7,513
Nkolokoti Ward,8,556
Nkolokoti Ward,9,1474
Nkolokoti Ward,10,824
Nkolokoti Ward,11,502
Nkolokoti Ward,12,626
Nkolokoti Ward,13,428
Nkolokoti Ward,14,564
Nkolokoti Ward,15,913
Nkolokoti Ward,16,526
Nyambadwe Ward,1,279
Nyambadwe Ward,2,950
Nyambadwe Ward,3,633
Nyambadwe Ward,4,204
Nyambadwe Ward,5,215
Nyambadwe Ward,6,51
Soche East Ward,1,253
Soche East Ward,2,150
Soche East Ward,3,136
Soche East Ward,4,204
Soche East Ward,5,154
Soche East Ward,6,177
Soche East Ward,7,586
Soche East Ward,8,204
Soche East Ward,9,583
Soche East Ward,10,256
Soche West Ward,1,354
Soche West Ward,2,263
Soche West Ward,3,302
Soche West Ward,4,814
Soche West Ward,5,594
Soche West Ward,6,642
Soche West Ward,7,801
Soche West Ward,8,351
Soche West Ward,9,363
Soche West Ward,10,323
Soche West Ward,11,224
Soche West Ward,12,288
Soche West Ward,13,358
Soche West Ward,14,331
Soche West Ward,15,390
Soche West Ward,16,385
Soche West Ward,17,413
Soche West Ward,18,902
Soche West Ward,19,957
Soche West Ward,20,1909
Soche West Ward,82,642
Soche West Ward,83,837
Soche West Ward,901,1058
South Lunzu Ward,1,362
South Lunzu Ward,2,437
South Lunzu Ward,3,491
South Lunzu Ward,4,666
South Lunzu Ward,5,547
South Lunzu Ward,6,395
South Lunzu Ward,7,445
South Lunzu Ward,8,224
South Lunzu Ward,9,489
South Lunzu Ward,10,553
South Lunzu Ward,11,16
South Lunzu Ward,12,1064
South Lunzu Ward,13,1038
South Lunzu Ward,14,577
South Lunzu Ward,15,626
South Lunzu Ward,16,260
South Lunzu Ward,17,569
South Lunzu Ward,18,209
South Lunzu Ward,19,282
South Lunzu Ward,20,474
South Lunzu Ward,21,632
South Lunzu Ward,22,313
South Lunzu Ward,23,188
South Lunzu Ward,24,246
