ADM_NAME,EA_NUMBER,Total_0-10
Michiru,1,137
Michiru,2,178
Michiru,3,90
Michiru,4,197
Michiru,5,181
Michiru,6,238
Michiru,7,243
Michiru,8,136
Michiru,9,182
Michiru,10,107
Michiru,11,219
Michiru,12,213
Michiru,13,291
Michiru,14,302
Michiru,15,233
Michiru,16,395
Michiru,17,207
Michiru,18,265
Michiru,19,155
Michiru,20,221
Michiru,21,217
Michiru,22,184
Michiru,23,251
Michiru,24,359
Michiru,25,240
Michiru,26,389
Michiru,27,453
Michiru,28,335
Michiru,29,331
Michiru,30,441
Michiru,31,350
Michiru,32,463
Michiru,33,252
Michiru,34,377
Michiru,35,428
Michiru,36,270
Michiru,37,312
Michiru,38,298
Michiru,39,332
Michiru,40,345
Michiru,41,328
Michiru,42,186
Michiru,43,225
Michiru,44,268
Michiru,45,384
Michiru,46,373
Michiru,47,255
Michiru,48,258
Michiru,49,347
Michiru,50,208
Michiru,51,325
Michiru,52,252
Michiru,53,267
Michiru,54,195
Michiru,55,275
Michiru,56,223
Michiru,57,310
Michiru,58,319
Michiru,59,340
Michiru,60,410
Michiru,61,370
Michiru,62,234
Michiru,63,385
Michiru,64,153
Michiru,65,231
Michiru,66,174
Michiru,67,186
Michiru,68,182
Michiru,69,267
Michiru,70,238
Michiru,71,309
Michiru,72,361
Michiru,73,415
Michiru,74,403
Michiru,75,368
Michiru,76,214
Michiru,77,367
Michiru,78,392
Michiru,79,270
Michiru,80,241
Michiru,81,173
Michiru,82,502
Michiru,83,204
South Lunzu,1,164
South Lunzu,2,248
South Lunzu,3,210
South Lunzu,4,208
South Lunzu,5,160
South Lunzu,6,216
South Lunzu,7,213
South Lunzu,8,238
South Lunzu,9,277
South Lunzu,10,213
South Lunzu,11,208
South Lunzu,12,169
South Lunzu,13,183
South Lunzu,14,138
South Lunzu,15,278
South Lunzu,16,181
South Lunzu,17,188
South Lunzu,18,219
South Lunzu,19,206
South Lunzu,20,195
South Lunzu,21,266
South Lunzu,22,413
South Lunzu,23,288
South Lunzu,24,214
South Lunzu,25,167
South Lunzu,26,223
South Lunzu,27,77
South Lunzu,28,157
South Lunzu,29,240
South Lunzu,30,340
South Lunzu,31,182
South Lunzu,32,272
South Lunzu,33,415
South Lunzu,34,247
South Lunzu,35,229
South Lunzu,36,246
South Lunzu,37,201
South Lunzu,38,203
South Lunzu,39,196
South Lunzu,40,192
South Lunzu,41,205
South Lunzu,42,230
South Lunzu,43,345
South Lunzu,44,244
South Lunzu,45,253
South Lunzu,46,242
South Lunzu,47,206
South Lunzu,48,177
South Lunzu,49,210
South Lunzu,50,192
South Lunzu,51,212
South Lunzu,52,72
South Lunzu,53,157
South Lunzu,54,252
South Lunzu,55,250
South Lunzu,56,217
South Lunzu,57,192
South Lunzu,58,274
South Lunzu,59,261
South Lunzu,60,241
South Lunzu,61,236
South Lunzu,62,207
South Lunzu,63,390
South Lunzu,901,105
Mapanga,1,205
Mapanga,2,203
Mapanga,3,131
Mapanga,4,187
Mapanga,5,199
Mapanga,6,195
Mapanga,7,188
Mapanga,8,85
Mapanga,9,158
Mapanga,10,291
Mapanga,11,270
Mapanga,12,282
Mapanga,13,173
Mapanga,14,212
Mapanga,15,185
Mapanga,16,234
Mapanga,17,231
Mapanga,18,189
Mapanga,19,232
Mapanga,20,202
Mapanga,21,192
Mapanga,22,193
Mapanga,23,312
Mapanga,24,154
Mapanga,25,167
Mapanga,26,84
Mapanga,27,188
Mapanga,28,192
Mapanga,29,186
Mapanga,30,200
Mapanga,31,158
Mapanga,32,367
Mapanga,33,379
Mapanga,34,449
Mapanga,35,319
Mapanga,36,380
Mapanga,37,356
Mapanga,38,248
Mapanga,39,373
Mapanga,40,400
Mapanga,41,302
Mapanga,42,302
Mapanga,43,457
Mapanga,44,401
Mapanga,45,296
Mapanga,46,314
Mapanga,47,307
Nkolokoti,1,243
Nkolokoti,2,291
Nkolokoti,3,223
Nkolokoti,4,275
Nkolokoti,5,248
Nkolokoti,6,176
Nkolokoti,7,453
Nkolokoti,8,300
Nkolokoti,9,214
Nkolokoti,10,248
Nkolokoti,11,262
Nkolokoti,12,326
Nkolokoti,13,288
Nkolokoti,14,261
Nkolokoti,15,278
Nkolokoti,16,300
Nkolokoti,17,239
Nkolokoti,18,295
Nkolokoti,19,275
Nkolokoti,20,321
Nkolokoti,21,165
Nkolokoti,22,330
Nkolokoti,23,373
Nkolokoti,24,236
Nkolokoti,25,244
Nkolokoti,26,226
Nkolokoti,27,278
Nkolokoti,28,280
Nkolokoti,29,359
Nkolokoti,30,346
Nkolokoti,31,323
Nkolokoti,32,285
Nkolokoti,33,301
Nkolokoti,34,429
Nkolokoti,35,223
Nkolokoti,36,266
Nkolokoti,37,266
Nkolokoti,38,374
Nkolokoti,39,296
Nkolokoti,40,327
Nkolokoti,41,247
Nkolokoti,42,254
Nkolokoti,43,202
Nkolokoti,44,191
Nkolokoti,45,353
Nkolokoti,46,260
Nkolokoti,47,235
Nkolokoti,48,278
Nkolokoti,49,332
Nkolokoti,50,229
Nkolokoti,51,40
Nkolokoti,52,64
Nkolokoti,53,204
Nkolokoti,54,268
Nkolokoti,55,292
Nkolokoti,56,253
Nkolokoti,57,314
Nkolokoti,58,333
Nkolokoti,59,246
Nkolokoti,60,90
Nkolokoti,61,139
Nkolokoti,62,137
Nkolokoti,901,1
Ndirande Matope,1,442
Ndirande Matope,2,436
Ndirande Matope,3,391
Ndirande Matope,4,156
Ndirande Matope,5,277
Ndirande Matope,6,298
Ndirande Matope,7,384
Ndirande Matope,8,666
Ndirande Matope,9,608
Ndirande Matope,10,386
Ndirande Matope,11,311
Ndirande Matope,12,335
Ndirande Matope,13,275
Ndirande Matope,14,329
Ndirande Matope,15,514
Ndirande Matope,16,254
Ndirande Matope,17,125
